_id,Series_reference,Period,Data_value,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Suppressed
647f327c1dce3c155c92f5c6,BDCQ.SEA1AS,2021.06,96590,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5c7,BDCQ.SEA1AS,2021.09,98388,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5c8,BDCQ.SEA1AS,2021.12,96818,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5c9,BDCQ.SEA1AS,2022.03,95832,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5ca,BDCQ.SEA1AS,2022.06,97642,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5cb,BDCQ.SEA1AS,2022.09,97354,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5cc,BDCQ.SEA1AT,2011.06,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5cd,BDCQ.SEA1AT,2011.09,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5ce,BDCQ.SEA1AT,2011.12,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5cf,BDCQ.SEA1AT,2012.03,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5d0,BDCQ.SEA1AT,2012.06,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5d1,BDCQ.SEA1AT,2012.09,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5d2,BDCQ.SEA1AT,2012.12,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5d3,BDCQ.SEA1AT,2013.03,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5d4,BDCQ.SEA1AT,2013.06,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5d5,BDCQ.SEA1AT,2013.09,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5d6,BDCQ.SEA1AT,2013.12,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5d7,BDCQ.SEA1AT,2014.03,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5d8,BDCQ.SEA1AT,2014.06,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5d9,BDCQ.SEA1AT,2014.09,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5da,BDCQ.SEA1AT,2014.12,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5db,BDCQ.SEA1AT,2015.03,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5dc,BDCQ.SEA1AT,2015.06,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5dd,BDCQ.SEA1AT,2015.09,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5de,BDCQ.SEA1AT,2015.12,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5df,BDCQ.SEA1AT,2016.03,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5e0,BDCQ.SEA1AT,2016.06,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5e1,BDCQ.SEA1AT,2016.09,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5e2,BDCQ.SEA1AT,2016.12,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5e3,BDCQ.SEA1AT,2017.03,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5e4,BDCQ.SEA1AT,2017.06,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5e5,BDCQ.SEA1AT,2017.09,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5e6,BDCQ.SEA1AT,2017.12,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5e7,BDCQ.SEA1AT,2018.03,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
